date,time,size,version,os,country,ip_id
"2024-03-01","01:48:27",98117415,"4.3.2","osx","US",85
"2024-03-01","01:48:33",82685678,"4.3.2","win",NA,4
"2024-03-01","01:48:27",82684878,"4.3.2","win","HK",115
"2024-03-01","01:48:39",95839248,"4.3.2","osx","SE",116
"2024-03-01","01:47:34",82594006,"4.3.2","win","US",117
"2024-03-01","01:48:52",95839274,"4.3.2","osx","CN",118
"2024-03-01","01:48:37",82686273,"4.3.2","win","AU",119
"2024-03-01","01:48:40",82686533,"4.3.2","win","AU",120
"2024-03-01","01:49:02",95840499,"4.3.2","osx",NA,4
"2024-03-01","01:48:56",95838276,"4.3.2","osx",NA,4
"2024-03-01","01:48:59",82594005,"4.3.2","win","CN",121
"2024-03-01","01:48:17",82688533,"4.3.2","win","US",122
"2024-03-01","01:49:15",82687145,"4.3.2","win",NA,4
"2024-03-01","01:49:13",82688648,"4.3.2","win","NZ",123
"2024-03-01","01:48:59",9661251,"4.3.2","osx",NA,4
"2024-03-01","01:49:01",58149085,"4.3.2","osx",NA,4
"2024-03-01","01:49:24",82594006,"4.3.2","win","US",124
"2024-03-01","01:49:20",82688808,"4.3.2","win","AU",125
"2024-03-01","01:49:25",82686166,"4.3.2","win","AU",126
"2024-03-01","01:49:29",82684933,"4.3.2","win","AU",126
"2024-03-01","01:49:44",95838896,"4.3.2","osx",NA,4
"2024-03-01","01:49:44",1081034,"4.3.2","win","US",127
"2024-03-01","01:49:43",257106,"4.3.2","win","US",127
"2024-03-01","01:49:54",82688497,"4.3.2","win","CA",128
"2024-03-01","01:49:36",82685858,"4.3.2","win","AU",129
"2024-03-01","01:49:39",98227329,"4.3.2","osx",NA,4
"2024-03-01","01:49:04",98117415,"4.3.2","osx","US",130
"2024-03-01","01:49:54",98227051,"4.3.2","osx","AU",131
"2024-03-01","01:50:19",82686404,"4.3.2","win",NA,4
"2024-03-01","01:49:13",98232835,"4.3.2","osx","US",122
"2024-03-01","01:50:29",82686687,"4.3.2","win",NA,4
"2024-03-01","01:50:37",28052841,"4.3.2","win","US",132
"2024-03-01","01:50:35",82594005,"4.3.2","win","US",133
"2024-03-01","01:50:35",82686515,"4.3.2","win","US",134
"2024-03-01","01:50:32",82686345,"4.3.2","win","CN",135
"2024-03-01","01:50:43",82686337,"4.3.2","win","CO",136
"2024-03-01","01:50:46",82594005,"4.3.2","win","HK",110
"2024-03-01","01:50:45",95839187,"4.3.2","osx","AU",137
"2024-03-01","01:50:45",26897812,"4.3.2","osx",NA,4
"2024-03-01","01:36:03",95839526,"4.3.2","osx","JP",138
"2024-03-01","01:36:01",82594006,"4.3.2","win","MX",139
"2024-03-01","01:35:59",98117414,"4.3.2","osx","US",140
"2024-03-01","01:35:15",98117416,"4.3.2","osx","US",141
"2024-03-01","01:35:56",86429693,"3.6.3","win","US",142
"2024-03-01","01:36:17",82686408,"4.3.2","win","US",143
"2024-03-01","01:35:16",86429694,"3.6.3","win","US",144
"2024-03-01","01:36:37",82594004,"4.3.2","win","US",145
"2024-03-01","01:35:45",98117413,"4.3.2","osx","US",146
"2024-03-01","01:36:23",82684590,"4.3.2","win","TW",147
"2024-03-01","01:36:21",82594005,"4.3.2","win",NA,4
"2024-03-01","01:35:53",86429694,"3.6.3","win","US",148
"2024-03-01","01:36:58",98117415,"4.3.2","osx","US",149
"2024-03-01","01:36:52",82686741,"4.3.2","win","US",150
"2024-03-01","01:36:56",98227761,"4.3.2","osx","US",151
"2024-03-01","01:36:42",95840414,"4.3.2","osx",NA,4
"2024-03-01","01:36:49",95839177,"4.3.2","osx","AU",152
"2024-03-01","01:37:00",98117415,"4.3.2","osx","US",153
"2024-03-01","01:36:57",82686228,"4.3.2","win",NA,4
"2024-03-01","01:36:16",98117414,"4.3.2","osx","US",22
"2024-03-01","01:36:56",82685353,"4.3.2","win","AU",154
"2024-03-01","01:37:22",86429693,"3.6.3","win","US",155
"2024-03-01","01:36:35",98117414,"4.3.2","osx","US",156
"2024-03-01","01:37:11",82686344,"4.3.2","win","MY",157
"2024-03-01","01:37:22",82686506,"4.3.2","win",NA,4
"2024-03-01","01:37:36",86429693,"3.6.3","win","US",158
"2024-03-01","01:37:35",88582780,"4.0.5","win","US",159
"2024-03-01","01:37:52",82594005,"4.3.2","win","US",160
"2024-03-01","01:37:55",332320,"4.2.3","src","US",161
"2024-03-01","01:38:09",98117416,"4.3.2","osx","US",162
"2024-03-01","01:37:21",82686407,"4.3.2","win","CN",163
"2024-03-01","01:38:19",82688676,"4.3.2","win",NA,4
"2024-03-01","01:38:33",82686461,"4.3.2","win","US",164
"2024-03-01","01:38:35",95842894,"4.3.2","osx","US",165
"2024-03-01","01:38:18",86429693,"3.6.3","win","US",166
"2024-03-01","01:38:29",95839659,"4.3.2","osx","CN",167
"2024-03-01","01:38:40",98117415,"4.3.2","osx","US",11
"2024-03-01","01:38:53",82686390,"4.3.2","win","JP",168
"2024-03-01","01:39:04",95839677,"4.3.2","osx",NA,4
"2024-03-01","01:39:04",35039789,"4.3.2","src","US",169
"2024-03-01","01:39:00",82688343,"4.3.2","win","ID",170
"2024-03-01","01:39:11",82687000,"4.3.2","win","AU",171
"2024-03-01","01:39:04",82689090,"4.3.2","win","AU",172
"2024-03-01","01:39:30",82594006,"4.3.2","win","MX",139
"2024-03-01","01:39:44",82686292,"4.3.2","win",NA,4
"2024-03-01","01:39:51",95843513,"4.3.2","osx",NA,4
"2024-03-01","01:39:57",82684841,"4.3.2","win",NA,4
"2024-03-01","01:40:22",82684968,"4.3.2","win",NA,4
"2024-03-01","01:40:25",82685796,"4.3.2","win","CO",173
"2024-03-01","01:40:43",82685158,"4.3.2","win","CA",174
"2024-03-01","01:40:50",82687225,"4.3.2","win",NA,4
"2024-03-01","00:40:59",67154,"4.2.3","src","US",175
"2024-03-01","00:41:12",95838931,"4.3.2","osx",NA,4
"2024-03-01","00:41:06",82686245,"4.3.2","win","HK",176
"2024-03-01","00:41:20",98117415,"4.3.2","osx","US",177
"2024-03-01","00:41:23",98117415,"4.3.2","osx","US",178
"2024-03-01","00:41:23",86526676,"3.6.3","win","KR",179
"2024-03-01","00:42:00",95840426,"4.3.2","osx","PH",180
"2024-03-01","00:42:00",98117415,"4.3.2","osx","US",181
"2024-03-01","00:41:52",82594002,"4.3.2","win","CN",182
"2024-03-01","00:42:15",82685561,"4.3.2","win","FR",183
"2024-03-01","00:42:10",95837694,"4.3.2","osx","CN",184
"2024-03-01","00:42:21",95838420,"4.3.2","osx","IE",185
"2024-03-01","00:42:38",98117416,"4.3.2","osx","US",10
"2024-03-01","00:42:49",82594006,"4.3.2","win","US",62
"2024-03-01","00:42:55",82686354,"4.3.2","win","AU",186
"2024-03-01","00:42:43",82684646,"4.3.2","win","AU",187
"2024-03-01","00:43:06",98117416,"4.3.2","osx","US",188
"2024-03-01","00:43:06",82594002,"4.3.2","win","CN",189
"2024-03-01","00:43:07",95840129,"4.3.2","osx","CA",190
"2024-03-01","00:42:00",82686164,"4.3.2","win","US",191
"2024-03-01","00:43:11",95839193,"4.3.2","osx","MX",192
"2024-03-01","00:43:13",82686371,"4.3.2","win",NA,4
"2024-03-01","00:43:19",82687165,"4.3.2","win","ID",193
"2024-03-01","00:43:25",98117416,"4.3.2","osx","US",194
"2024-03-01","00:43:45",98117415,"4.3.2","osx","US",195
"2024-03-01","00:43:48",98117416,"4.3.2","osx","US",196
"2024-03-01","00:43:48",541,"4.1.1","win",NA,4
"2024-03-01","00:43:54",90735764,"4.1.3","win","TT",197
"2024-03-01","00:44:05",95839446,"4.3.2","osx",NA,4
"2024-03-01","00:43:56",82187899,"4.3.1","win","AU",187
"2024-03-01","00:44:16",82685381,"4.3.2","win","PE",198
"2024-03-01","00:44:26",82685750,"4.3.2","win",NA,4
"2024-03-01","00:44:30",622505,"4.2.3","src","US",199
"2024-03-01","00:44:38",82594004,"4.3.2","win","US",200
"2024-03-01","00:44:33",28704098,"4.3.2","win","NG",201
"2024-03-01","00:44:43",95839311,"4.3.2","osx",NA,4
"2024-03-01","00:44:38",82690085,"4.3.2","win","KR",202
"2024-03-01","00:44:49",82687047,"4.3.2","win",NA,4
"2024-03-01","00:45:01",82686903,"4.3.2","win",NA,4
"2024-03-01","00:45:08",98227390,"4.3.2","osx","US",203
"2024-03-01","00:45:08",11148127,"4.3.2","win","JP",204
"2024-03-01","00:45:07",98117415,"4.3.2","osx","US",205
